food_type,protein,fat,carb,sugar,sodium,cholesterol,calcium,kcal
Livestock (Goat) ,26.9,3.0,0.0,0.0,408,74.0,17.0,142
Livestock (Sheep) ,5.98,7.0,5.36,not found,44.0,27.0,193,108
Livestock (donkey) ,0.0,0.0,9.68,3.23,548,0.0,0.0,48.0
Livestock (camel) ,3.33,0.0,10.0,6.67,2290.0,0.0,33.0,53.0
Pasta (macaroni) ,6.9,14.4,21.8,1.66,262,18.0,98.0,245
Teff (mixed) ,3.87,0.65,19.9,not found,8.0,0.0,49.0,101
Milk (camel) ,3.28,3.2,4.67,4.81,38.0,12.0,123,60.0
Butter (cow milk) ,25.9,16.4,0.0,0.0,372,86.0,13.0,257
Butter (goat milk) ,3.56,4.14,4.45,4.45,50.0,11.0,134,69.0
Peas ,5.56,0.0,14.4,5.56,0.0,0.0,22.0,78.0
Livestock (ox) ,0.0,0.0,57.1,28.6,0.0,not found,not found,286
Peppers (green) ,0.88,2.81,4.68,2.42,130,2.0,11.0,44.0
Kale ,3.54,0.88,9.73,0.0,44.0,0.0,133,53.0
"Beans (haricot, white) ",6.5,4.21,25.2,0.21,231,0.0,54.0,164
Wheat (mixed) ,7.1,12.0,73.0,not found,700,0.0,36.0,396
Barley (mixed) ,12.5,2.3,73.5,0.8,12.0,0.0,33.0,354
Beans (mung) ,6.52,6.86,17.8,1.86,218,0.0,25.0,155
Millet (finger) ,10.8,4.25,75.1,1.66,4.0,not found,14.0,1600.0
Beans (haricot) ,1.2,0.0,7.23,2.41,0.0,0.0,36.0,30.0
Groundnuts ,not found,not found,not found,not found,not found,not found,not found,not found
Livestock (bull) ,0.46,0.0,10.2,10.2,39.0,0.0,6.0,43.0
Honey ,0.3,0.0,82.4,82.1,4.0,0.0,6.0,1270.0
"Beans (haricot, red) ",6.4,0.0,16.0,0.8,68.0,0.0,32.0,96.0
Wheat (food aid) ,5.99,1.71,30.1,0.75,4.0,0.0,13.0,625
Kocho ,not found,not found,not found,not found,not found,not found,not found,not found
Maize (food aid) ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
"Corn Soy Blend (CSB++, food aid) ",2.0,0.6,9.26,2.93,5.0,0.0,32.0,50.0
Sorghum (food aid) ,10.6,3.46,72.1,2.53,2.0,0.0,13.0,329
"Rice (paddy, long grain, local) ",2.91,0.37,26.0,0.11,2.0,0.0,19.0,123
"Rice (basmati, broken) ",13.3,1.11,66.7,2.22,11.0,0.0,0.0,311
Fish (bonga) ,13.9,13.1,10.3,0.99,282,59.0,33.0,217
Tea (green) ,0.22,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Meat (mutton) ,13.1,6.38,3.1,1.19,240,43.0,16.0,124
Coffee (instant) ,0.1,0.0,0.63,0.0,4.0,0.0,4.0,3.0
"Rice (long grain, imported) ",2.91,0.37,26.0,0.11,2.0,0.0,19.0,123
"Rice (medium grain, imported) ",2.38,0.21,28.6,not found,0.0,0.0,3.0,130
"Rice (small grain, imported) ",2.38,0.21,28.6,not found,0.0,0.0,3.0,130
Tea ,0.0,0.0,8.46,8.25,2.0,not found,not found,34.0
Dates ,2.5,0.0,75.0,55.0,25.0,0.0,0.0,300
"Meat (beef, canned) ",3.24,3.41,13.3,1.97,283,5.0,12.0,97.0
Yogurt ,2.65,0.44,18.6,14.2,44.0,4.0,71.0,88.0
Butter ,0.0,78.6,0.0,not found,643,214,not found,714
Cassava leaves ,1.42,3.02,39.6,1.77,146,2.0,17.0,191
Meat (sheep) ,5.98,7.0,5.36,not found,44.0,27.0,193,108
Cocoa (powder) ,19.6,13.7,57.9,1.75,21.0,0.0,128,228
Fonio ,6.67,1.11,77.8,0.0,622,0.0,38.0,356
Gari ,1.79,1.79,78.6,0.0,41.0,0.0,0.0,339
Plantains (apentu) ,2.28,29.6,63.8,0.92,202,0.0,9.0,531
Cowpeas ,4.1,0.25,4.82,not found,7.0,0.0,63.0,29.0
Cowpeas (white) ,4.1,0.25,4.82,not found,7.0,0.0,63.0,29.0
Plantains (apem) ,2.28,29.6,63.8,0.92,202,0.0,9.0,531
Tomatoes (navrongo) ,0.88,0.2,3.89,2.63,5.0,0.0,10.0,18.0
Peppers (dried) ,11.9,8.2,51.4,not found,43.0,0.0,61.0,1180.0
Yam (puna) ,1.53,0.17,27.9,0.5,9.0,0.0,17.0,494
"Fish (mackerel, fresh) ",18.5,25.1,0.0,0.0,4450.0,95.0,66.0,1280.0
"Meat (chicken, local) ",25.3,8.1,0.9,0.0,482,50.0,14.0,185
Fish ,13.9,13.1,10.3,0.99,282,59.0,33.0,217
Onions (imported) ,22.2,4.36,0.1,0.0,40.0,55.0,4.0,537
"Chili (red, dry raw) ",1.87,0.44,8.81,5.3,9.0,0.0,14.0,166
"Beans (niebe, white) ",6.5,4.21,25.2,0.21,231,0.0,54.0,164
"Meat (beef, second quality) ",17.5,10.7,7.19,1.85,420,74.0,65.0,200
Fuel (Super Petrol) ,0.97,6.87,5.61,0.0,735,0.0,94.0,81.0
"Meat (chicken, frozen, imported) ",14.4,15.4,16.2,1.27,538,34.0,38.0,1090.0
Handwash soap ,1.6,1.2,10.4,0.8,624,0.0,16.0,56.0
Fish (goldstripe sardinella) ,13.9,13.1,10.3,0.99,282,59.0,33.0,217
"Fish (barbel, sole) ",12.4,1.93,0.0,0.0,296,45.0,21.0,294
"Fish (mullet, catfish) ",19.4,3.79,0.0,0.0,65.0,49.0,41.0,117
Firewood ,7.14,28.6,53.6,0.0,393,0.0,0.0,500
Candles (small)  ,23.5,1.28,not found,not found,not found,not found,149,not found
Candles (big)  ,12.8,11.6,21.0,3.7,454,35.0,124,234
Batteries (small) ,23.5,1.28,not found,not found,not found,not found,149,not found
Batteries (big) ,12.8,11.6,21.0,3.7,454,35.0,124,234
Cashew ,6.98,20.9,67.4,41.9,349,23.0,0.0,488
Bananas (imported) ,3.89,1.81,88.3,47.3,3.0,0.0,22.0,346
Bananas (local) ,3.89,1.81,88.3,47.3,3.0,0.0,22.0,346
Rice (tchako) ,5.13,2.25,17.3,0.87,316,53.0,15.0,112
Maize meal (local) ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
"Meat (chicken, broiler) ",18.6,15.1,0.0,0.0,70.0,75.0,11.0,900
Chili (red) ,1.87,0.44,8.81,5.3,9.0,0.0,14.0,166
Milk (condensed) ,7.91,8.7,54.4,54.4,127,34.0,284,321
Chili (bird's eye) ,5.39,1.27,3.03,0.29,733,17.0,6.0,46.0
Onions (shallot) ,2.5,0.1,16.8,7.87,12.0,0.0,37.0,301
"Chili (bird's eye, green) ",0.72,0.27,4.6,not found,397,0.0,36.0,21.0
"Chili (red, curly) ",1.87,0.44,8.81,5.3,9.0,0.0,14.0,166
