,Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Unit
8840,CPIM.SAP0156,2020.01,3.15,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Bread rolls,hamburger buns,6 pack,6 pack
8926,CPIM.SAP0157,2020.01,7.84,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Breakfast drink,250ml,6 pack,6 pack
9101,CPIM.SAP0158,2020.01,5.43,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Burger,with or without accompaniments,each,each
9276,CPIM.SAP0159,2020.01,3.52,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Soup,canned,500g,500g
9451,CPIM.SAP0160,2020.01,10.13,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Capsicums,green,else red,1kg
9626,CPIM.SAP0161,2020.01,4.59,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Cauliflower,1kg,0,1kg
9801,CPIM.SAP0162,2020.01,5.66,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Celery,1kg,0,1kg
9976,CPIM.SAP0164,2020.01,4.7,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Cheese,camembert,125g,125g
10151,CPIM.SAP0165,2020.01,3.63,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Cheese,processed slices,250g,250g
10309,CPIM.SAP0166,2020.01,11.68,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Chicken,cooked,whole,0
10395,CPIM.SAP0167,2020.01,8.32,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Chicken pieces (excluding breast),boneless or bone in,1kg,1kg
10570,CPIM.SAP0168,2020.01,7.47,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Chicken,whole,frozen,0
10692,CPIM.SAP0169,2020.01,10.15,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Chicken nuggets,frozen,1kg,1kg
10850,CPIM.SAP0170,2020.01,4.49,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Chilled fruit juice or smoothies,1 to 1.5 litre,0,5 litre
11025,CPIM.SAP0172,2020.01,8.83,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Chocolate,boxed,loose,250g
11200,CPIM.SAP0173,2020.01,4.85,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Chocolate blocks,convenience stores,100g to 250g,250g
11375,CPIM.SAP0174,2020.01,1.43,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Chocolate novelty bars,50g,0, 50g
11550,CPIM.SAP0176,2020.01,3.6,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Corn flakes,500g,0,500g
11725,CPIM.SAP0177,2020.01,11.77,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Corned beef,fresh,chilled or frozen,1kg
11900,CPIM.SAP0178,2020.01,6.56,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Courgettes,1kg,0,1kg
12075,CPIM.SAP0179,2020.01,3.22,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Biscuits,savoury,crackers 250g,250g
12250,CPIM.SAP0180,2020.01,2.7,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Cream,300ml - Cheapest Available,0,0
